#Selection names:,sample_coordinates
#Areas (µm^2): 39050103.03
Selection,X,Y
sample_coordinates,4380.17,432.03
sample_coordinates,4859.55,420.84
sample_coordinates,5367.89,513.04
sample_coordinates,6385.76,890.34
sample_coordinates,6741.56,1311.28
sample_coordinates,6939.16,2069.19
sample_coordinates,7106.19,2824.40
sample_coordinates,7029.76,3841.99
sample_coordinates,7022.56,4665.37
sample_coordinates,7008.17,5003.68
sample_coordinates,7008.17,5210.59
sample_coordinates,6958.95,5458.93
sample_coordinates,6903.37,5659.59
sample_coordinates,6850.09,5882.87
sample_coordinates,6739.36,6180.09
sample_coordinates,6437.54,6551.75
sample_coordinates,6277.28,6776.85
sample_coordinates,5995.36,7041.75
sample_coordinates,4976.20,7464.57
sample_coordinates,4447.14,7503.26
sample_coordinates,3853.08,7360.14
sample_coordinates,3693.75,7286.46
sample_coordinates,3463.01,7208.86
sample_coordinates,3250.39,7084.23
sample_coordinates,3023.19,6913.64
sample_coordinates,2836.98,6742.86
sample_coordinates,2655.50,6582.60
sample_coordinates,2326.75,6359.93
sample_coordinates,2175.42,6275.73
sample_coordinates,1909.51,6134.15
sample_coordinates,1760.25,6055.29
sample_coordinates,1331.61,5866.54
sample_coordinates,1045.35,5648.76
sample_coordinates,919.97,5470.41
sample_coordinates,651.11,5244.60
sample_coordinates,428.34,5087.40
sample_coordinates,333.62,4940.98
sample_coordinates,157.75,4758.93
sample_coordinates,4.18,4470.69
sample_coordinates,-99.52,3711.94
sample_coordinates,4.61,3401.04
sample_coordinates,274.87,2764.59
sample_coordinates,364.48,2516.56
sample_coordinates,451.76,2344.20
sample_coordinates,757.27,2102.92
sample_coordinates,1018.50,1811.44
sample_coordinates,1180.29,1676.20
sample_coordinates,1402.56,1447.76
sample_coordinates,1628.13,1223.64
sample_coordinates,1818.07,1080.68
sample_coordinates,1959.77,892.00
sample_coordinates,2127.54,781.07
sample_coordinates,2478.69,629.35
sample_coordinates,2676.44,516.69
sample_coordinates,3091.78,390.73
sample_coordinates,3367.34,336.97
sample_coordinates,3599.87,333.89
sample_coordinates,3897.41,348.28
sample_coordinates,4096.49,384.32
sample_coordinates,4411.35,436.59
sample_coordinates,4380.17,432.03
