#Selection name: Selection 2
#Area (µm^2): 1688461.96
X,Y
5677.38,3883.74
5940.99,3980.20
5944.38,3983.60
6188.12,4062.20
6399.41,4158.66
6619.50,4250.13
6827.36,4394.19
6990.34,4540.19
7066.63,4694.38
7097.19,4894.71
7025.89,5074.67
6849.32,5169.74
6638.80,5271.61
6465.64,5390.45
6280.89,5480.32
6077.78,5493.90
5955.54,5310.55
5928.38,5120.40
5870.66,4913.28
5728.05,4750.30
5609.21,4570.34
5470.00,4386.99
5378.32,4210.42
5290.04,4023.67
5290.04,3840.32
5495.15,3774.01
5701.66,3892.85
5677.38,3883.74
