#Selection names:,"sample_coordinates, thrombus_coordinates"
"#Areas (µm^2): 65682267.76, 2825563.36"
Selection,X,Y
sample_coordinates,4931.56,102.45
sample_coordinates,5234.00,49.65
sample_coordinates,5706.47,60.57
sample_coordinates,6549.90,236.49
sample_coordinates,6810.38,353.46
sample_coordinates,7104.14,454.11
sample_coordinates,7712.28,838.48
sample_coordinates,8174.21,1162.85
sample_coordinates,8545.36,1536.20
sample_coordinates,8811.25,1857.74
sample_coordinates,9045.20,2164.17
sample_coordinates,9236.77,2535.18
sample_coordinates,9304.91,2826.16
sample_coordinates,9374.76,3201.80
sample_coordinates,9412.81,3548.26
sample_coordinates,9362.22,4152.97
sample_coordinates,9181.06,4764.65
sample_coordinates,9136.98,5125.81
sample_coordinates,8934.76,5467.16
sample_coordinates,8665.92,5891.06
sample_coordinates,8356.16,6300.19
sample_coordinates,8066.17,6604.37
sample_coordinates,7530.79,7027.18
sample_coordinates,6711.43,7363.85
sample_coordinates,5415.16,7770.45
sample_coordinates,4393.34,8008.22
sample_coordinates,4022.65,8019.14
sample_coordinates,2520.95,7863.68
sample_coordinates,905.76,7051.23
sample_coordinates,-190.76,5884.91
sample_coordinates,-765.28,4369.72
sample_coordinates,-765.28,3762.13
sample_coordinates,-564.72,2809.46
sample_coordinates,-397.44,1826.55
sample_coordinates,-223.52,1207.20
sample_coordinates,8.13,803.94
sample_coordinates,598.23,527.74
sample_coordinates,1073.36,284.61
sample_coordinates,2169.14,99.30
sample_coordinates,3071.12,99.30
sample_coordinates,3779.81,99.30
sample_coordinates,4300.72,190.65
sample_coordinates,4974.91,106.63
sample_coordinates,4931.56,102.45
thrombus_coordinates,5020.67,4166.73
thrombus_coordinates,5039.68,4145.40
thrombus_coordinates,5451.94,4374.96
thrombus_coordinates,5559.69,4627.94
thrombus_coordinates,5583.11,4923.08
thrombus_coordinates,5498.79,5265.07
thrombus_coordinates,5287.97,5588.33
thrombus_coordinates,5044.36,5799.15
thrombus_coordinates,4760.29,5756.98
thrombus_coordinates,4451.09,5710.14
thrombus_coordinates,4007.58,5575.43
thrombus_coordinates,3775.89,5429.14
thrombus_coordinates,3567.84,5295.76
thrombus_coordinates,3214.73,5008.01
thrombus_coordinates,3303.74,4684.75
thrombus_coordinates,3555.87,4558.55
thrombus_coordinates,3902.76,4339.50
thrombus_coordinates,4296.50,4162.05
thrombus_coordinates,5020.67,4166.73
