#Selection names:,"Selection 1, Selection 2"
"#Areas (µm^2): 48692915.88, 1688461.96"
Selection,X,Y
Selection 1,4831.39,574.89
Selection 1,5105.37,495.63
Selection 1,5364.08,514.00
Selection 1,5661.53,549.34
Selection 1,5863.41,564.52
Selection 1,6116.22,616.63
Selection 1,6322.26,668.54
Selection 1,6499.59,758.21
Selection 1,6695.30,861.46
Selection 1,6862.68,950.25
Selection 1,7110.84,1111.36
Selection 1,7282.29,1246.80
Selection 1,7468.88,1370.94
Selection 1,7662.16,1604.35
Selection 1,7856.47,1867.34
Selection 1,8031.59,2067.82
Selection 1,8079.17,2337.84
Selection 1,8526.10,2767.52
Selection 1,8639.06,2904.97
Selection 1,8674.60,3227.85
Selection 1,8731.91,3492.23
Selection 1,8740.30,3881.66
Selection 1,8736.91,4091.18
Selection 1,8666.42,4428.14
Selection 1,8575.12,4712.23
Selection 1,8426.38,5478.96
Selection 1,8320.83,5744.69
Selection 1,8247.63,5950.46
Selection 1,8082.31,6413.98
Selection 1,7777.18,6690.59
Selection 1,7599.70,6814.78
Selection 1,7448.35,7028.01
Selection 1,7026.21,7358.35
Selection 1,6608.83,7565.54
Selection 1,6187.76,7908.14
Selection 1,6028.96,8048.58
Selection 1,5449.88,8196.61
Selection 1,4738.71,8229.99
Selection 1,4444.89,8152.79
Selection 1,4441.50,8149.40
Selection 1,4407.63,7958.41
Selection 1,4128.70,7894.31
Selection 1,3903.09,7889.32
Selection 1,3704.61,7788.07
Selection 1,3533.45,7601.53
Selection 1,3377.26,7475.90
Selection 1,3208.10,7353.86
Selection 1,3085.87,7187.49
Selection 1,2869.02,7074.46
Selection 1,2704.65,6899.70
Selection 1,2551.85,6777.46
Selection 1,2394.28,6635.06
Selection 1,2292.41,6482.26
Selection 1,2151.81,6356.63
Selection 1,2148.41,6356.63
Selection 1,1999.01,6241.19
Selection 1,1797.29,6054.64
Selection 1,1671.66,5905.24
Selection 1,1535.84,5738.86
Selection 1,1351.10,5518.77
Selection 1,1161.43,5303.95
Selection 1,988.75,5074.58
Selection 1,762.17,4735.61
Selection 1,521.01,4306.98
Selection 1,343.25,3706.84
Selection 1,310.70,3084.77
Selection 1,357.05,2646.49
Selection 1,442.75,2326.55
Selection 1,396.30,2074.63
Selection 1,1125.92,1579.55
Selection 1,1697.35,1228.47
Selection 1,1847.11,969.29
Selection 1,1896.24,796.74
Selection 1,2095.33,714.06
Selection 1,2284.75,673.73
Selection 1,2629.57,665.34
Selection 1,2865.29,651.97
Selection 1,3471.22,638.39
Selection 1,3749.57,648.37
Selection 1,4040.49,645.18
Selection 1,4251.01,567.08
Selection 1,4460.92,526.34
Selection 1,4831.02,570.48
Selection 1,4831.39,574.89
Selection 2,5677.38,3883.74
Selection 2,5940.99,3980.20
Selection 2,5944.38,3983.60
Selection 2,6188.12,4062.20
Selection 2,6399.41,4158.66
Selection 2,6619.50,4250.13
Selection 2,6827.36,4394.19
Selection 2,6990.34,4540.19
Selection 2,7066.63,4694.38
Selection 2,7097.19,4894.71
Selection 2,7025.89,5074.67
Selection 2,6849.32,5169.74
Selection 2,6638.80,5271.61
Selection 2,6465.64,5390.45
Selection 2,6280.89,5480.32
Selection 2,6077.78,5493.90
Selection 2,5955.54,5310.55
Selection 2,5928.38,5120.40
Selection 2,5870.66,4913.28
Selection 2,5728.05,4750.30
Selection 2,5609.21,4570.34
Selection 2,5470.00,4386.99
Selection 2,5378.32,4210.42
Selection 2,5290.04,4023.67
Selection 2,5290.04,3840.32
Selection 2,5495.15,3774.01
Selection 2,5701.66,3892.85
Selection 2,5677.38,3883.74
